id,rating,platform,label,cleaned
d2033115-006d-4a26-8565-c8fb39ce0daf,1,shopee,negatif,sumpah lot parah servernya tingkat gitu gitu internet lancar apk youtube lancar buka shoope nunggu ular lingkar lingkar n connecting tingkatin kalah apk belah lancar lancar pake
481a06ae-5426-4e1d-a48d-e543d19acce9,2,shopee,negatif,spaylatter beku udh iya tau lambat x tpi sisa bayar jatuh tempo lunas gaada pinjeman udh aju pulih tpi tetep dibls email riwayat lambat x tpi beku orang beku tpi aktif gua liat dibls email aju tim spaylatter gua bener ajuin klo gaada hasil gua turunin
b52a656f-9a87-47ff-8552-f0c63cd0f5d8,4,shopee,positif,suka shoppe cuman ganti spx hemat bikin males kalo ubah kalo jnt express kalo jnt economy spx hemat ambil kalo pake spx hemat bagus
a9c1ebd3-dbff-4c2c-983d-2d05c804bead,5,shopee,positif,manfaat tingkat notifikasi layar hp notif wa alamat si mes posisi jemput terima kasih
0a20032e-ec22-4762-8ed2-90212e3c5df0,1,shopee,negatif,kecewa layan shope transaksi top up etoll terang hasil update chat cs suruh nunggu bayar cash utang kendala transaksi kaya ribet isi hp sedia nfc tpi tetep update dri apk shope bank kait btw lupa aju otomatis selesai saldo masuk
7a3862fe-0d31-4193-8afe-fd01298aca87,2,shopee,negatif,ulasanpenilaian bikin filter kategori ulas tau beneran bagus nggakarena review muncul review laluterus pilih kurir kasih pilih milih ekspedisi manasoalnya sop ekspedisi bedaada satset cepet kaya express lot kaya anterajaini cekout milih ekspedisi
71a769c4-66ee-4153-aa79-dc79fc4de4ff,4,shopee,positif,emng bantu harga jangkau kesel ekspedisi lau jnt semenjak otomatis udh minggu jasa beli pilih jasa lau gin maleskan
a7787544-d72b-4a34-8d4d-e5530bd9626a,5,shopee,positif,manfaat fungsi dgn kontrol jgn bablas konsumtif jgn hutang pay later bayar
ae47d923-ef2e-40ca-aa51-b3bb8edcc65e,1,shopee,negatif,sopi kacau langgan kuasa milih jasa expedisi pilih sopi hemat standart tp layan buruk buka terima hak langgan pilih jasa expedisi layan bagus n pket dg aman
257402d6-1932-4174-9619-7957c80007e5,2,shopee,negatif,maaf cod dah bagus tpi mksimalkan kak dri nyampe hmpir cek status alhamdulillah kota tuju ehh suruh cek cek tau daerah kuburayakalimantan barat wahh nyasar jauhhh
7bd338be-ba9f-4004-81e2-357dffcc3251,4,shopee,positif,hallo ekspedisi jnt karna cma jnt blm alami mohon expedisi spx karna lambat hilang hilangya kurir terimakasih
2abb18c6-fe3b-412b-935c-158a067a7ca2,5,shopee,positif,senang dishopeetapi kesal cod cek buka kurir sesuaikarena tang kurir kurir suruh video kurir buka pcsisinya pcs kurir suruh cod anjir anjir bayar ramai orang
5a730385-0141-40d7-ae75-c9595ea15439,1,shopee,negatif,kecewa ekspedisi spx konsumen paksa spx pilih ekspedisi kalo spx laku tiada ekspedisi
98b34c87-2690-43a7-8933-29c493426e60,2,shopee,negatif,over all bagus cuman musti benah layan cs kadang ngalor ngidul nanya nyaman gamau tau cancel buyer si status terima hilang ekspedisi spx
9be0836c-abc5-4401-b9c9-675a8355ede8,4,shopee,positif,yaa jasa jgn atur otomatis sistem beli aturmemilih ekspedisi jgn pilih tp potong ongkir sy tuju dgn kurir spx rekomendasi kurir ekspedisi biaya harga ongkir sdh tera alamat keberatankarena biaya
d16a5ce0-05f2-4cff-9ecc-4a30844b24d6,5,shopee,positif,lemotsering gangguanlayar ngeblank hp ram suka lagikami seller paksa shoppe expres nonaktifkanmasih biaya layananbiaya admin biaya expres lambatgak sesuai estimasisering komplainyang pickup cs cabang kota ramah sekalijadi nyaman jualanserasa hidup jaman kolonial dagang atur
f1ea7bf8-71eb-46b9-87f4-c4708bd00566,1,shopee,negatif,dear tarik pilih ekspedisi promo gratis ongkir kecewa karna gratis ongkirnya suka spx nama express lelet nauzubillah dri tggal estimasi terkadang alamat tp besok
d63e95de-a4d6-4efc-8c12-33302ab81821,2,shopee,negatif,vocher kaya nggada beda biaya layan tangan gratis ongkir minimal beli super kota belah minggu dateng kek plislahh kalo biaya nyaman pribadi beli rugi mohon tingkat kualitas online shopenya biaya
30fd6cbb-0667-4253-a3e4-57d41bd13122,4,shopee,positif,overall bagus kalo iklan tuh suka nyulik bawa masuk buka bug optimal terimakasih
3ee52207-f1bd-4a62-83f4-577045070ac2,5,shopee,positif,salah alamat kurir mohon prosedur konfirmasi milik rumah chattelp salah cari solusi taro foto bukti jujur salah solusi aju
6eb967ea-b7b3-4b14-8b82-7450fd2e0214,1,shopee,negatif,lot respon tombol back lola males buka update coment buruk buka halaman buka lancar masuk etalase halaman putih da gambar speed internet kenceng ram lega memori lega bener buruktambahan nihupdate scrol susahharus scollhadehhadehtambah buruk
1abe0b10-daa0-4db9-a4df-8e1e57ead321,2,shopee,negatif,min favorit dibetulin kalo habis hapus favorit tuh kerefresh favorit scroll lg lg bolak gitu mulu ngaruh kalo chat shopeenya langsung udh thanks
d1a00b0b-8caf-4ea7-8291-1b8e78144038,4,shopee,positif,masuk akal shoopr terkadang ongkir mahal banding harga pokok shoope cuman kasih saran ongkirnya murah biar peminatnyapenggunanya moga ongkir shoope turun biaya akun shoope nauvalnasaruddin
595e8b18-5f29-4774-a1ac-81f4b3ccee3d,5,shopee,positif,baguskalau online pokok kurir ramah pokok bintang lahh jaman rugi
c3c28164-4c96-44d5-8270-ddafd95da38c,1,shopee,negatif,sistem marketing dsn ngebuat henti brlanja adsnya biaya tangan biaya layan simple jujur menganggu transaksi ngak kalo ngeliat biaya tsb
734a1c1f-a03c-4f18-ac78-680bec6dc777,2,shopee,negatif,sebal beda estimasi tampil cekout pilih subsidi ongkir minggu jalur daratlaut diinput estimasi dgn jujur rubah pilih kurir jasa ongkir paksa kurir spx express alamat laaaaamaaaaa
72390c49-715d-41b3-ba5b-c085da243a34,4,shopee,positif,saran milih exspedisi exspedisi tanggal estimasi butuh cepat tanggal
ab82f7c8-a8d1-4c60-a4bb-06983e099d07,5,shopee,positif,mudah makan main lengkap ponsel ram bilang lot muat barangbarang suka masuk keranjang harap tim dev optimasi perangkat milik spec low nyaman bagus overrall nice work
c80e5c6b-8bde-442e-86e1-77202217a085,1,shopee,negatif,si ribet batas blokir kena aneh skrg dana blokir cair notif aktivitas curiga chat cs bikin ribet hatihati jual
6c737115-7af4-416c-bb05-dfbfc2351a42,2,shopee,negatif,sempet langgan beli semenjak beli sesuai skripsi alamat jual tolak komplain suruh admin manual alamat jual dg resiko biaya ongkir sy forum diskusi tdk respon ntahlah
d014a134-0891-41a1-939e-de22dfb07613,4,shopee,positif,shoope leletini salah problem pakek jne reguler kak emang pilih sajamulai kemarin sen status sortir
378d7e30-34ad-4173-9826-f6a5d662420a,5,shopee,positif,kelam suka henti ngapangapain ngekliknya kadang suka ngebug scrollnya lambat hp cepat panas boros baterai terkadang susah dapatin gratis ongkir map alamat suka ngebug kakak suka kasih rating kakak
17463546-7695-4cdd-aaa5-692feabc2b69,1,shopee,negatif,salah lemah shoppy benah dengar masuk paksa ekspedisi spx co otomatis expedisi spx sepeeti beli bebas pilih ekspedisi co spx slalu mengecewakanestiminasi akurat kurir jiga tunda nunda alamat masuk akal pulau spx makan minggu
90903ecf-71d5-4e10-bc67-c579bbfd3037,2,shopee,negatif,hapus opsi ubah expedisi karna biar bebas langgan pilih paten gitu daerah expedisi ontime customer puas perhati terima kasih
6056579c-bd6b-4600-ba3d-35b2ff5d39f0,4,shopee,positif,layan jual tpi mohon jasa knapa kadang no wa kurir spx tampil mudah hubung
404597cd-41f0-4e7a-94bf-5ed96a206a57,5,shopee,positif,salah terfavv aman mudahhh enak karna rumah butuh kurir retur alas butuh bangettt emg kalo spx murah gratis ongkir yah amanah akun cod
62356e3e-47af-4ffd-84eb-894ff384ac3a,1,shopee,negatif,kecewa hp tunggu tercecerhilang tunggu jual alam buruk
